condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi
compact,GPT-4.1 mini,ag_news,23,direct_hybrid,799,0.7843651837985992,1.0,0.5412081142738251,0.4983412636615394
compact,GPT-4.1 mini,ag_news,23,direct_initial,799,0.7868277149145498,1.0,0.5456284583689633,0.5058537825104957
compact,GPT-4.1 mini,ag_news,23,bertopic,799,0.5487089763944202,0.5819774718397998,0.3270373071145842,0.4446639410154409
compact,GPT-4.1 mini,ag_news,23,kmeans,799,0.6785333649033535,1.0,0.4454392864604616,0.5882869818754946
compact,GPT-4.1 mini,ag_news,37,hybrid,799,0.729248831244193,1.0,0.5211256794837837,0.509103017898816
compact,GPT-4.1 mini,ag_news,37,initial,799,0.7384478309496794,1.0,0.5397293176661364,0.5313279620238242
compact,GPT-4.1 mini,ag_news,37,direct_hybrid,799,0.6599926226857786,1.0,0.3055284737156771,0.4184955291240019
compact,GPT-4.1 mini,ag_news,37,direct_initial,799,0.6593941477562845,1.0,0.3037044937532305,0.4179428300821584
compact,GPT-4.1 mini,ag_news,37,bertopic,799,0.5628876793814486,0.6445556946182729,0.3485713697160358,0.4731800997159129
compact,GPT-4.1 mini,ag_news,37,kmeans,799,0.6923673572688818,1.0,0.441743289869613,0.578368810347711
compact,GPT-4.1 mini,ag_news,53,hybrid,799,0.6559428568108091,1.0,0.4138366732162699,0.4660668905180093
compact,GPT-4.1 mini,ag_news,53,initial,799,0.6567027511165542,1.0,0.4169569762717744,0.469766519419847
compact,GPT-4.1 mini,ag_news,53,direct_hybrid,799,0.6447338416177545,1.0,0.4007906400599075,0.4448944104166892
compact,GPT-4.1 mini,ag_news,53,direct_initial,799,0.6448919042393587,1.0,0.4022755619726079,0.4446771609922603
compact,GPT-4.1 mini,ag_news,53,bertopic,799,0.4842837782076829,0.6971214017521903,0.2038505674591465,0.4116134009971526
compact,GPT-4.1 mini,ag_news,53,kmeans,799,0.6118288349125529,1.0,0.3557719301454329,0.5341360289314843
compact,GPT-4.1 mini,ag_news,71,hybrid,799,0.6871352588703901,1.0,0.4645321966336649,0.4780245026261144
compact,GPT-4.1 mini,ag_news,71,initial,799,0.6915845276289015,1.0,0.4712118799977443,0.4872588019168578
compact,GPT-4.1 mini,ag_news,71,direct_hybrid,799,0.6168451541119017,1.0,0.3896066721998406,0.4147854617169924
compact,GPT-4.1 mini,ag_news,71,direct_initial,799,0.6221116381735404,1.0,0.3934845667687027,0.424659815772629
compact,GPT-4.1 mini,ag_news,71,bertopic,799,0.6449848135810301,0.8585732165206508,0.4621547309007234,0.5315969555352946
compact,GPT-4.1 mini,ag_news,71,kmeans,799,0.5369588641378443,1.0,0.300188760062223,0.5208122338311182
compact,Luna,massive,37,hybrid,360,0.6466625897866621,0.95,0.4468929856761536,0.6808252398122594
compact,Luna,massive,37,initial,360,0.6466625897866621,0.95,0.4468929856761536,0.6808252398122594
compact,Luna,massive,37,direct_hybrid,360,0.6802364370125102,1.0,0.4517351130748929,0.6946876350333367
compact,Luna,massive,37,direct_initial,360,0.6802364370125102,1.0,0.4517351130748929,0.6946876350333367
compact,Luna,massive,37,bertopic,360,0.5818764328150389,0.7111111111111111,0.2733095067762708,0.6256835514524454
compact,Luna,massive,37,kmeans,360,0.6761703265244933,1.0,0.4932831263546686,0.7211971725955035
compact,Luna,bills,23,hybrid,376,0.4343257502918985,0.9388297872340424,0.2513389138756142,0.4961991421472947
