condition,generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std
compact,GPT-4.1 mini,bills,kmeans,0.40750104728994785,0.02885194770994648,1.0,0.0,0.20694317669091172,0.01794998105928747,0.4543797983841792,0.02025958272205648
compact,GPT-4.1 mini,massive,bertopic,0.5866797321280932,0.031950461932791455,0.6922222222222223,0.029749468301089523,0.2662703494487217,0.022700568704235254,0.629688391330083,0.016948660542365726
compact,GPT-4.1 mini,massive,direct_hybrid,0.4481369086164776,0.05169724425652633,1.0,0.0,0.19839527143505276,0.04500279416844426,0.5017101756802893,0.04019433992566925
compact,GPT-4.1 mini,massive,direct_initial,0.43627738128054705,0.049196028743892735,1.0,0.0,0.1872845603471575,0.04780224071312648,0.49070314773918405,0.03902750409357357
compact,GPT-4.1 mini,massive,hybrid,0.4895813859241051,0.03095964165426299,0.95,0.0,0.3065056858811481,0.036119445047197524,0.5570612710100955,0.02311973034777437
compact,GPT-4.1 mini,massive,initial,0.48767137619186746,0.03285526109649735,0.95,0.0,0.30138166976811565,0.03666995451825636,0.554949069410916,0.023587921087874986
compact,GPT-4.1 mini,massive,kmeans,0.5769378383008924,0.04243550791804873,1.0,0.0,0.3503072447308527,0.0534583102563071,0.6355874172837297,0.03813987689016547
compact,GPT-4.1 mini,sib200,bertopic,0.25426953021665477,0.005454455423564112,0.06571428571428568,0.03403179785591885,0.0021417956152383,0.0014166423239637624,0.07890130766767116,0.012154049443364935
compact,GPT-4.1 mini,sib200,direct_hybrid,0.5801491670988701,0.04535252601047898,1.0,0.0,0.27987483328025997,0.03221355928989228,0.44941196590880883,0.023517250879645724
compact,GPT-4.1 mini,sib200,direct_initial,0.5794368821849046,0.04468541836912477,1.0,0.0,0.2791813064492358,0.03163386109625129,0.4479101039180048,0.022255721914658508
compact,GPT-4.1 mini,sib200,hybrid,0.5008992192864419,0.044218864544956146,0.9642857142857144,0.0,0.2542443047934731,0.050571204096883024,0.3980281905870993,0.04329830303323443
compact,GPT-4.1 mini,sib200,initial,0.5008992192864419,0.044218864544956146,0.9642857142857144,0.0,0.2542443047934731,0.050571204096883024,0.3980281905870993,0.04329830303323443
compact,GPT-4.1 mini,sib200,kmeans,0.5226445932396112,0.05313967932368105,1.0,0.0,0.23416612971823625,0.06119846386569081,0.41709956045185576,0.054305333009582575
compact,Luna,ag_news,bertopic,0.5691620830365695,0.06060433143053101,0.6888610763454318,0.10365190546588213,0.3442541266463853,0.09378447180593537,0.4709183819697441,0.04583941034983451
compact,Luna,ag_news,direct_hybrid,0.5882549793787671,0.04607199235120285,1.0,0.0,0.3204186554414516,0.0457477527316199,0.41883532753811303,0.028607165995934564
compact,Luna,ag_news,direct_initial,0.5882549793787671,0.04607199235120285,1.0,0.0,0.3204186554414516,0.0457477527316199,0.41883532753811303,0.028607165995934564
compact,Luna,ag_news,hybrid,0.626163064880729,0.05127596175020594,1.0,0.0,0.40219422749579703,0.055485832725568174,0.4755345106229035,0.015451259922939175
compact,Luna,ag_news,initial,0.626163064880729,0.05127596175020594,1.0,0.0,0.40219422749579703,0.055485832725568174,0.4755345106229035,0.015451259922939175
compact,Luna,ag_news,kmeans,0.4795021106192278,0.05018540666559331,1.0,0.0,0.2597731255635569,0.03987600915469797,0.4884345175758787,0.019407065395145005
compact,Luna,bills,bertopic,0.16027157223097782,0.03304149517140901,0.975,0.055901699437494755,0.01714818315792316,0.014673270899811849,0.1366264000618806,0.05997085553870109
compact,Luna,bills,direct_hybrid,0.45810826708000024,0.02779091860151829,1.0,0.0,0.25862986505394575,0.029536051141572525,0.5001473289323338,0.0201253139108678
compact,Luna,bills,direct_initial,0.4523612775957265,0.018132576301246973,1.0,0.0,0.2552332457306524,0.021743585983331235,0.49494373528655666,0.014596343531083045
compact,Luna,bills,hybrid,0.41809570776114613,0.01542336240201708,0.9388297872340423,0.0,0.23144423501157715,0.015129776100735133,0.46936670154563515,0.01596498323329083
compact,Luna,bills,initial,0.41601673614852885,0.01430578660429839,0.9388297872340423,0.0,0.22935563814061855,0.013485876989322305,0.4653188208201008,0.0148660085013312
compact,Luna,bills,kmeans,0.4172431301940039,0.029697921978623785,1.0,0.0,0.2119010809778583,0.03838197309683219,0.48183490981800164,0.02291673108581175
compact,Luna,massive,bertopic,0.5866797321280932,0.03195046193279148,0.6922222222222223,0.0297494683010895,0.2662703494487217,0.02270056870423525,0.629688391330083,0.016948660542365736
compact,Luna,massive,direct_hybrid,0.6671174091749205,0.018308771507292446,1.0,0.0,0.46345161033572513,0.04936458382505337,0.6983853716395778,0.021984253759943277
compact,Luna,massive,direct_initial,0.6671174091749205,0.018308771507292446,1.0,0.0,0.46345161033572513,0.04936458382505337,0.6983853716395778,0.021984253759943277
compact,Luna,massive,hybrid,0.6608097566929103,0.023591707277308527,0.95,0.0,0.47496592276833616,0.025491530427088346,0.6923806341486125,0.01380317735777372
compact,Luna,massive,initial,0.6608097566929103,0.023591707277308527,0.95,0.0,0.47496592276833616,0.025491530427088346,0.6923806341486125,0.01380317735777372
compact,Luna,massive,kmeans,0.6760205986386886,0.014882897640520332,1.0,0.0,0.46129338353418337,0.03514950676234154,0.7070688057061572,0.02160143654874887
compact,Luna,sib200,bertopic,0.25426953021665477,0.005454455423564101,0.06571428571428568,0.03403179785591884,0.0021417956152383,0.001416642323963762,0.07890130766767116,0.012154049443364937
