generator,dataset,seed,method,n_documents,coverage,harmonic_purity,ari,nmi,topicgpt_weighted_best_f1,legacy_global_hmp
GPT-4.1 mini,ag_news,71,hybrid,799,1.0,0.6871352588703901,0.4645321966336649,0.4780245026261144,0.6871352588703901,0.6889661183622386
GPT-4.1 mini,ag_news,71,initial,799,1.0,0.6915845276289015,0.4712118799977443,0.4872588019168578,0.6915845276289015,0.6956212996742382
GPT-4.1 mini,ag_news,71,direct_hybrid,799,1.0,0.6168451541119017,0.3896066721998406,0.4147854617169924,0.6168451541119017,0.6650579579614705
GPT-4.1 mini,ag_news,71,direct_initial,799,1.0,0.6221116381735404,0.3934845667687027,0.424659815772629,0.6221116381735404,0.6724980299448384
GPT-4.1 mini,ag_news,71,bertopic,799,0.8585732165206508,0.6449848135810301,0.4621547309007234,0.5315969555352946,0.6449848135810301,0.7129248688706769
GPT-4.1 mini,ag_news,71,kmeans,799,1.0,0.5369588641378443,0.300188760062223,0.5208122338311182,0.5369588641378443,0.5279467940743382
Luna,massive,37,hybrid,360,0.95,0.6466625897866621,0.4468929856761536,0.6808252398122594,0.6466625897866621,0.6638423988842399
Luna,massive,37,initial,360,0.95,0.6466625897866621,0.4468929856761536,0.6808252398122594,0.6466625897866621,0.6638423988842399
Luna,massive,37,direct_hybrid,360,1.0,0.6802364370125102,0.4517351130748929,0.6946876350333367,0.6802364370125102,0.6999007936507937
Luna,massive,37,direct_initial,360,1.0,0.6802364370125102,0.4517351130748929,0.6946876350333367,0.6802364370125102,0.6999007936507937
Luna,massive,37,bertopic,360,0.7111111111111111,0.5818764328150389,0.2733095067762708,0.6256835514524454,0.5818764328150389,0.6018099547511311
Luna,massive,37,kmeans,360,1.0,0.6761703265244933,0.4932831263546686,0.7211971725955035,0.6761703265244933,0.6738568815729309
Luna,bills,23,hybrid,376,0.9388297872340424,0.4343257502918985,0.2513389138756142,0.4961991421472947,0.4343257502918985,0.4664484451718494
Luna,bills,23,initial,376,0.9388297872340424,0.4330119296284191,0.2482008758333856,0.4910633967568309,0.4330119296284191,0.46390904102908
Luna,bills,23,direct_hybrid,376,1.0,0.4543335892128705,0.2710806791198641,0.5141938672020324,0.4543335892128705,0.4865713289152424
Luna,bills,23,direct_initial,376,1.0,0.4520652367652879,0.2674537303627815,0.5079046388431859,0.4520652367652879,0.4853395511512678
Luna,bills,23,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
Luna,bills,23,kmeans,376,1.0,0.3889100048580354,0.1738932199041737,0.4488864874531465,0.3889100048580354,0.4253823138297872
Luna,ag_news,23,hybrid,799,1.0,0.6642168651572753,0.4209192624046928,0.4833517154120462,0.6642168651572753,0.6701304114476131
Luna,ag_news,23,initial,799,1.0,0.6642168651572753,0.4209192624046928,0.4833517154120462,0.6642168651572753,0.6701304114476131
Luna,ag_news,23,direct_hybrid,799,1.0,0.6293503562780355,0.3555483171670382,0.4483312035395065,0.6293503562780355,0.6219721971372965
Luna,ag_news,23,direct_initial,799,1.0,0.6293503562780355,0.3555483171670382,0.4483312035395065,0.6293503562780355,0.6219721971372965
Luna,ag_news,23,bertopic,799,0.5819774718397998,0.5487089763944202,0.3270373071145842,0.4446639410154409,0.5487089763944202,0.6747312732203484
Luna,ag_news,23,kmeans,799,1.0,0.5320423360038747,0.3038841485301596,0.5060965777044019,0.5320423360038747,0.5275593495853881
Luna,ag_news,71,hybrid,799,1.0,0.5612928487760053,0.3427624505061847,0.4510334223698853,0.5612928487760053,0.5775079497065149
Luna,ag_news,71,initial,799,1.0,0.5612928487760053,0.3427624505061847,0.4510334223698853,0.5612928487760053,0.5775079497065149
Luna,ag_news,71,direct_hybrid,799,1.0,0.5852449532762367,0.318055487999319,0.4151946950266886,0.5852449532762367,0.5908936367309531
Luna,ag_news,71,direct_initial,799,1.0,0.5852449532762367,0.318055487999319,0.4151946950266886,0.5852449532762367,0.5908936367309531
Luna,ag_news,71,bertopic,799,0.8585732165206508,0.6449848135810301,0.4621547309007234,0.5315969555352946,0.6449848135810301,0.7129248688706769
Luna,ag_news,71,kmeans,799,1.0,0.4602897534193232,0.2339504039604726,0.479096904888115,0.4602897534193232,0.4523615684654362
Luna,bills,71,hybrid,376,0.9388297872340424,0.4279764079627531,0.2418460691062003,0.4657887777942369,0.4279764079627531,0.4770935814615065
Luna,bills,71,initial,376,0.9388297872340424,0.4212816403512279,0.237232105300228,0.4576349321614095,0.4212816403512279,0.4726721252689457
Luna,bills,71,direct_hybrid,376,1.0,0.4977771144809844,0.3022563660660777,0.5249666522756739,0.4977771144809844,0.5265823124865677
Luna,bills,71,direct_initial,376,1.0,0.46850857051125,0.2849515183258021,0.5082519900576443,0.46850857051125,0.5097517730496455
Luna,bills,71,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
Luna,bills,71,kmeans,376,1.0,0.4520868518658783,0.2574402333282442,0.5070546293991688,0.4520868518658783,0.4949368528842871
Luna,massive,53,hybrid,360,0.95,0.6867683167419677,0.5061559868025762,0.7144518806145933,0.6867683167419677,0.7080234833659491
Luna,massive,53,initial,360,0.95,0.6867683167419677,0.5061559868025762,0.7144518806145933,0.6867683167419677,0.7080234833659491
Luna,massive,53,direct_hybrid,360,1.0,0.6850019179912279,0.5297249728599169,0.7329969231750567,0.6850019179912279,0.7109711455641688
Luna,massive,53,direct_initial,360,1.0,0.6850019179912279,0.5297249728599169,0.7329969231750567,0.6850019179912279,0.7109711455641688
Luna,massive,53,bertopic,360,0.6416666666666667,0.5403660940713135,0.2424777235377771,0.620541131149462,0.5403660940713135,0.6095444685466378
Luna,massive,53,kmeans,360,1.0,0.6747492108558713,0.4517528172812172,0.7113055616135789,0.6747492108558713,0.6639291465378421
Luna,sib200,71,hybrid,140,0.9642857142857144,0.4647188086704215,0.1809316166288559,0.3941528861704191,0.4647188086704215,0.4534351145038168
Luna,sib200,71,initial,140,0.9642857142857144,0.4647188086704215,0.1809316166288559,0.3941528861704191,0.4647188086704215,0.4534351145038168
