generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,bills,53,direct_hybrid,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.3590425531914893,0.3670212765957447,0.476063829787234,0.4144909054298946,0.1619261861879913,0.3944536119858757,0.3590425531914893,0.3670212765957447,0.476063829787234,0.4144909054298946,0.1619261861879913,0.3944536119858757
GPT-4.1 mini,cloud,bills,53,direct_initial,test,eligible,release_revalidation_previously_seen,376,1.0,0,10,0.3643617021276595,0.3643617021276595,0.5478723404255319,0.4376589541591713,0.1767542071856984,0.3847252370737571,0.3643617021276595,0.3643617021276595,0.5478723404255319,0.4376589541591713,0.1767542071856984,0.3847252370737571
GPT-4.1 mini,cloud,bills,53,bertopic,test,eligible,release_revalidation_previously_seen,376,0.875,47,3,0.1622340425531915,0.1622340425531915,0.8085106382978723,0.2702419119790148,0.0433965281053222,0.2439055277845649,0.1671732522796352,0.1671732522796352,0.9240121580547112,0.2831235024680173,0.0434567538404822,0.265738600252441
GPT-4.1 mini,cloud,bills,53,kmeans,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.4388297872340425,0.4388297872340425,0.5691489361702128,0.4955650367708977,0.2238885152824696,0.4758742815171687,0.4388297872340425,0.4388297872340425,0.5691489361702128,0.4955650367708977,0.2238885152824696,0.4758742815171687
GPT-4.1 mini,cloud,bills,71,hybrid,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,11,0.3457446808510638,0.3484042553191489,0.4840425531914893,0.405172999796071,0.1582129899814801,0.377828277180794,0.3597733711048159,0.3597733711048159,0.5155807365439093,0.4238107025312393,0.1672531734285917,0.3913832633306627
GPT-4.1 mini,cloud,bills,71,initial,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,10,0.3404255319148936,0.3430851063829787,0.4893617021276595,0.4033716266739174,0.1552520974159815,0.3710393426574863,0.3541076487252124,0.3541076487252124,0.5212464589235127,0.4217204360222594,0.1638478845318468,0.3841725136760949
GPT-4.1 mini,cloud,bills,71,direct_hybrid,test,eligible,release_revalidation_previously_seen,376,1.0,0,11,0.3909574468085106,0.3909574468085106,0.5531914893617021,0.4581360503446209,0.1963464648060233,0.4124727623215506,0.3909574468085106,0.3909574468085106,0.5531914893617021,0.4581360503446209,0.1963464648060233,0.4124727623215506
GPT-4.1 mini,cloud,bills,71,direct_initial,test,eligible,release_revalidation_previously_seen,376,1.0,0,10,0.375,0.375,0.5664893617021277,0.451271186440678,0.1848185409789535,0.3962272307827782,0.375,0.375,0.5664893617021277,0.451271186440678,0.1848185409789535,0.3962272307827782
GPT-4.1 mini,cloud,bills,71,bertopic,test,eligible,release_revalidation_previously_seen,376,1.0,0,2,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095
GPT-4.1 mini,cloud,bills,71,kmeans,test,eligible,release_revalidation_previously_seen,376,1.0,0,11,0.3936170212765957,0.3962765957446808,0.5877659574468085,0.473389879240943,0.2177118340341026,0.4498591528109131,0.3936170212765957,0.3962765957446808,0.5877659574468085,0.473389879240943,0.2177118340341026,0.4498591528109131
GPT-4.1 mini,cloud,sib200,11,hybrid,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,9,0.4357142857142857,0.5071428571428571,0.4714285714285714,0.4886339937434827,0.2054674022845597,0.3554857976133493,0.4518518518518518,0.5111111111111111,0.4888888888888889,0.499753086419753,0.2152384791340591,0.3646716710669375
GPT-4.1 mini,cloud,sib200,11,initial,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,9,0.4357142857142857,0.5071428571428571,0.4714285714285714,0.4886339937434827,0.2054674022845597,0.3554857976133493,0.4518518518518518,0.5111111111111111,0.4888888888888889,0.499753086419753,0.2152384791340591,0.3646716710669375
GPT-4.1 mini,cloud,sib200,11,direct_hybrid,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.5214285714285715,0.5714285714285714,0.5428571428571428,0.5567765567765567,0.2578335302635904,0.4234414270382357,0.5214285714285715,0.5714285714285714,0.5428571428571428,0.5567765567765567,0.2578335302635904,0.4234414270382357
GPT-4.1 mini,cloud,sib200,11,direct_initial,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.5214285714285715,0.5714285714285714,0.5428571428571428,0.5567765567765567,0.2578335302635904,0.4234414270382357,0.5214285714285715,0.5714285714285714,0.5428571428571428,0.5567765567765567,0.2578335302635904,0.4234414270382357
GPT-4.1 mini,cloud,sib200,11,bertopic,test,eligible,release_revalidation_previously_seen,140,0.0571428571428571,132,3,0.1857142857142857,0.1857142857142857,0.9428571428571428,0.3103074141048824,0.0022752441167001,0.0816095492240706,0.75,0.75,0.75,0.75,0.2265193370165746,0.5907298457506943
GPT-4.1 mini,cloud,sib200,11,kmeans,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.4214285714285714,0.4928571428571429,0.5071428571428571,0.4998979591836734,0.1987011091652072,0.3739631524863594,0.4214285714285714,0.4928571428571429,0.5071428571428571,0.4998979591836734,0.1987011091652072,0.3739631524863594
GPT-4.1 mini,cloud,sib200,23,hybrid,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.4642857142857143,0.5357142857142857,0.4642857142857143,0.4974489795918367,0.2344116636394875,0.3886386868248319,0.4814814814814814,0.5407407407407407,0.4814814814814814,0.509393451422437,0.2461158887373228,0.3994318202696032
GPT-4.1 mini,cloud,sib200,23,initial,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.4642857142857143,0.5357142857142857,0.4642857142857143,0.4974489795918367,0.2344116636394875,0.3886386868248319,0.4814814814814814,0.5407407407407407,0.4814814814814814,0.509393451422437,0.2461158887373228,0.3994318202696032
GPT-4.1 mini,cloud,sib200,23,direct_hybrid,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.4928571428571429,0.5714285714285714,0.5357142857142857,0.552995391705069,0.241433091750562,0.4254811316017036,0.4928571428571429,0.5714285714285714,0.5357142857142857,0.552995391705069,0.241433091750562,0.4254811316017036
GPT-4.1 mini,cloud,sib200,23,direct_initial,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.4928571428571429,0.5714285714285714,0.5357142857142857,0.552995391705069,0.241433091750562,0.4254811316017036,0.4928571428571429,0.5714285714285714,0.5357142857142857,0.552995391705069,0.241433091750562,0.4254811316017036
GPT-4.1 mini,cloud,sib200,23,bertopic,test,eligible,release_revalidation_previously_seen,140,0.1214285714285714,123,2,0.2,0.2,0.8785714285714286,0.3258278145695364,0.0042513550669157,0.0904734948161464,0.4705882352941176,0.4705882352941176,1.0,0.6399999999999999,0.1667241974456334,0.4590290477931512
GPT-4.1 mini,cloud,sib200,23,kmeans,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.4357142857142857,0.5428571428571428,0.4714285714285714,0.5046277665995975,0.2015219135890579,0.401221046608877,0.4357142857142857,0.5428571428571428,0.4714285714285714,0.5046277665995975,0.2015219135890579,0.401221046608877
GPT-4.1 mini,cloud,sib200,37,hybrid,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.5285714285714286,0.6285714285714286,0.5428571428571428,0.5825783972125436,0.3294241321472931,0.4664102019926388,0.5481481481481482,0.6370370370370371,0.562962962962963,0.5977137631458619,0.3461031923648748,0.4815177519717944
GPT-4.1 mini,cloud,sib200,37,initial,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.5285714285714286,0.6285714285714286,0.5428571428571428,0.5825783972125436,0.3294241321472931,0.4664102019926388,0.5481481481481482,0.6370370370370371,0.562962962962963,0.5977137631458619,0.3461031923648748,0.4815177519717944
GPT-4.1 mini,cloud,sib200,37,direct_hybrid,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.5785714285714286,0.65,0.5785714285714286,0.6122093023255815,0.3206345249263591,0.4732474048851723,0.5785714285714286,0.65,0.5785714285714286,0.6122093023255815,0.3206345249263591,0.4732474048851723
GPT-4.1 mini,cloud,sib200,37,direct_initial,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.5785714285714286,0.65,0.5785714285714286,0.6122093023255815,0.3206345249263591,0.4732474048851723,0.5785714285714286,0.65,0.5785714285714286,0.6122093023255815,0.3206345249263591,0.4732474048851723
