generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std,runs
Luna,ag_news,direct_hybrid,0.5884971588924633,0.03435365733003178,1.0,0.0,0.3204186554414516,0.0457477527316199,0.41883532753811303,0.028607165995934564,5
Luna,ag_news,direct_initial,0.5884971588924633,0.03435365733003178,1.0,0.0,0.3204186554414516,0.0457477527316199,0.41883532753811303,0.028607165995934564,5
Luna,ag_news,hybrid,0.6379201667428116,0.04747850054575411,1.0,0.0,0.40219422749579703,0.055485832725568174,0.4755345106229035,0.015451259922939175,5
Luna,ag_news,initial,0.6379201667428116,0.04747850054575411,1.0,0.0,0.40219422749579703,0.055485832725568174,0.4755345106229035,0.015451259922939175,5
Luna,ag_news,kmeans,0.47474910761341604,0.0510645094082207,1.0,0.0,0.2597731255635569,0.03987600915469797,0.4884345175758787,0.019407065395145005,5
Luna,bills,bertopic,0.20418103598785411,0.0369291523423548,0.975,0.055901699437494755,0.01714818315792316,0.014673270899811849,0.1366264000618806,0.05997085553870109,5
Luna,bills,direct_hybrid,0.491616046147948,0.021811977730081155,1.0,0.0,0.25862986505394575,0.029536051141572525,0.5001473289323338,0.0201253139108678,5
Luna,bills,direct_initial,0.490049543291712,0.012961257508492386,1.0,0.0,0.2552332457306524,0.021743585983331235,0.49494373528655666,0.014596343531083045,5
Luna,bills,hybrid,0.4599937374958737,0.013546425025285065,0.9388297872340423,0.0,0.23144423501157715,0.015129776100735133,0.46936670154563515,0.01596498323329083,5
Luna,bills,initial,0.45750528309100397,0.011971922799836715,0.9388297872340423,0.0,0.22935563814061855,0.013485876989322305,0.4653188208201008,0.0148660085013312,5
Luna,bills,kmeans,0.46741629076871083,0.028258398716495808,1.0,0.0,0.2119010809778583,0.03838197309683219,0.48183490981800164,0.02291673108581175,5
Luna,massive,bertopic,0.6113442438202746,0.015737516753166862,0.6922222222222223,0.0297494683010895,0.2662703494487217,0.02270056870423525,0.629688391330083,0.016948660542365736,5
Luna,massive,direct_hybrid,0.6937470108319221,0.013527224409255134,1.0,0.0,0.46345161033572513,0.04936458382505337,0.6983853716395778,0.021984253759943277,5
Luna,massive,direct_initial,0.6937470108319221,0.013527224409255134,1.0,0.0,0.46345161033572513,0.04936458382505337,0.6983853716395778,0.021984253759943277,5
Luna,massive,hybrid,0.6860840338976849,0.02034897994041122,0.95,0.0,0.47496592276833616,0.025491530427088346,0.6923806341486125,0.01380317735777372,5
Luna,massive,initial,0.6860840338976849,0.02034897994041122,0.95,0.0,0.47496592276833616,0.025491530427088346,0.6923806341486125,0.01380317735777372,5
Luna,massive,kmeans,0.6673371336717306,0.020812365401112108,1.0,0.0,0.46129338353418337,0.03514950676234154,0.7070688057061572,0.02160143654874887,5
Luna,sib200,bertopic,0.3115688179863874,0.01098333484562211,0.06571428571428568,0.03403179785591884,0.0021417956152383,0.001416642323963762,0.07890130766767116,0.012154049443364937,5
Luna,sib200,direct_hybrid,0.5565648266938356,0.016648226327059333,1.0,0.0,0.28270362771638374,0.034171344632950615,0.48143197405109284,0.035037904210049084,5
Luna,sib200,direct_initial,0.5565648266938356,0.016648226327059333,1.0,0.0,0.28270362771638374,0.034171344632950615,0.48143197405109284,0.035037904210049084,5
Luna,sib200,hybrid,0.4705584859787482,0.019820397987009984,0.9642857142857144,0.0,0.19852895386027997,0.014741884386374155,0.4061012959960301,0.015298534026808476,5
Luna,sib200,initial,0.4705584859787482,0.019820397987009984,0.9642857142857144,0.0,0.19852895386027997,0.014741884386374155,0.4061012959960301,0.015298534026808476,5
Luna,sib200,kmeans,0.5117916894403541,0.04866387801668373,1.0,0.0,0.23157589010313756,0.049723418816076385,0.46391784477702236,0.039841619235014676,5
